code,name
1,street-s
2,bedroom-s
3,living_room-s
4,bathroom-s
5,kitchen-s
6,dining_room-s
7,skyscraper-s
8,highway-s
9,building_facade-s
10,conference_room-s
11,hotel_room-s
12,mountain_snowy-s
13,office-s
14,corridor-s
15,airport_terminal-s
16,game_room-s
17,waiting_room-s
18,home_office-s
19,poolroom-home-s
20,art_studio-s
21,attic-s
22,forest-broadleaf-s
23,park-s
24,mountain-s
25,coast-s
26,alley-s
27,parlor-s
28,closet-s
29,beach-s
30,childs_room-s
31,art_gallery-s
32,apartment_building-outdoor-s
33,castle-s
34,staircase-s
35,pasture-s
36,dorm_room-s
37,nursery-s
38,garage-indoor-s
39,lobby-s
40,reception-s
41,bar-s
42,forest-needleleaf-s
43,warehouse-indoor-s
44,bakery-shop-s
45,roundabout-s
46,house-s
47,casino-indoor-s
48,classroom-s
49,field-cultivated-s
50,bridge-s
51,river-s
52,youth_hostel-s
53,field-wild-s
54,lighthouse-s
55,creek-s
56,museum-indoor-s
57,window_seat-s
58,shoe_shop-s
59,amusement_park-s
60,dinette-vehicle-s
61,lake-natural-s
62,dinette-home-s
63,cockpit-s
64,jacuzzi-indoor-s
65,playroom-s
66,valley-s
67,parking_lot-s
68,tower-s
69,auditorium-s
70,beauty_salon-s
71,wet_bar-s
72,artists_loft-s
73,balcony-interior-s
74,arrival_gate-outdoor-s
75,plaza-s
76,playground-s
77,hill-s
78,clothing_store-s
79,pantry-s
80,bow_window-indoor-s
81,utility_room-s
82,galley-s
83,basement-s
84,bookstore-s
85,abbey-s
86,golf_course-s
87,supermarket-s
88,hallway-s
89,market-outdoor-s
90,laundromat-s
91,greenhouse-indoor-s
92,subway_interior-s
93,gazebo-exterior-s
94,ballroom-s
95,alcove-s
96,doorway-indoor-s
97,bus_interior-s
98,access_road-s
99,archive-s
100,landing_deck-s
101,waterfall-block-s
102,gymnasium-indoor-s
103,office_building-s
104,ocean-s
105,cathedral-indoor-s
106,badlands-s
107,forest_path-s
108,baggage_claim-s
109,home_theater-s
110,toyshop-s
111,harbor-s
112,library-indoor-s
113,dentists_office-s
114,bowling_alley-s
115,amusement_arcade-s
116,restaurant-s
117,fastfood_restaurant-s
118,poolroom-establishment-s
119,church-indoor-s
120,auto_showroom-s
121,gas_station-s
122,theater-indoor_procenium-s
123,construction_site-s
124,fairway-s
125,parking_garage-indoor-s
126,yard-s
127,courthouse-s
128,bow_window-outdoor-s
129,driveway-s
130,water_tower-s
131,cubicle-office-s
132,computer_room-s
133,music_studio-s
134,amphitheater-s
135,airplane_cabin-s
136,campus-s
137,kindergarden_classroom-s
138,control_tower-outdoor-s
139,ball_pit-s
140,desert-sand-s
141,cloister-indoor-s
142,weighbridge-s
143,swimming_pool-outdoor-s
144,wine_cellar-barrel_storage-s
145,delicatessen-s
146,shopping_mall-indoor-s
147,restaurant_patio-s
148,berth-s
149,swimming_pool-indoor-s
150,waterfall-fan-s
151,videostore-s
152,cemetery-s
153,reading_room-s
154,geodesic_dome-outdoor-s
155,windmill-s
156,ice_skating_rink-indoor-s
157,atrium-public-s
158,courtroom-s
159,dining_car-s
160,day_care_center-s
161,movie_theater-indoor-s
162,mansion-s
163,jail_cell-s
164,sauna-s
165,mosque-outdoor-s
166,lecture_room-s
167,campsite-s
168,doorway-outdoor-s
169,church-outdoor-s
170,inn-indoor-s
171,hospital_room-s
172,florist_shop-indoor-s
173,aqueduct-s
174,shower-s
175,forest_road-s
176,cabin-outdoor-s
177,operating_room-s
178,inn-outdoor-s
179,crosswalk-s
180,sandbox-s
181,hayfield-s
182,snowfield-s
183,planetarium-outdoor-s
184,slum-s
185,islet-s
186,shopfront-s
187,television_studio-s
188,locker_room-s
189,barn-s
190,botanical_garden-s
191,carrousel-s
192,subway_station-corridor-s
193,rope_bridge-s
194,hunting_lodge-outdoor-s
195,kasbah-s
196,marsh-s
197,auto_factory-s
198,balcony-exterior-s
199,chicken_coop-outdoor-s
200,ski_resort-s
201,diner-outdoor-s
202,corn_field-s
203,kitchenette-s
204,village-s
205,monastery-outdoor-s
206,courtyard-s
207,martial_arts_gym-s
208,fountain-s
209,outhouse-outdoor-s
210,donjon-s
211,runway-s
212,viaduct-s
213,baptistry-outdoor-s
214,kiosk-indoor-s
215,farm-s
216,escalator-indoor-s
217,ruin-s
218,moor-s
219,art_school-s
220,hospital-s
221,pulpit-s
222,arch-s
223,wheat_field-s
224,garage-outdoor-s
225,airport-s
226,canyon-s
227,corral-s
228,bleachers-outdoor-s
229,stage-indoor-s
230,medina-s
231,kennel-indoor-s
232,bank-outdoor-s
233,car_interior-backseat-s
234,desert-vegetation-s
235,hot_spring-s
236,sandbar-s
237,dolmen-s
238,vegetable_garden-s
239,elevator-interior-s
240,embassy-s
241,covered_bridge-exterior-s
242,casino-outdoor-s
243,observatory-outdoor-s
244,dacha-s
245,cathedral-outdoor-s
246,fire_escape-s
247,candy_store-s
248,town_house-s
249,bus_depot-outdoor-s
250,jewelry_shop-s
251,palace-s
252,mountain_path-s
253,cavern-indoor-s
254,jail-indoor-s
255,conference_center-s
256,moat-water-s
257,fence-s
258,movie_theater-outdoor-s
259,bazaar-indoor-s
260,wrestling_ring-indoor-s
261,badminton_court-outdoor-s
262,vineyard-s
263,temple-east_asia-s
264,podium-indoor-s
265,kennel-outdoor-s
266,booth-indoor-s
267,watchtower-s
268,hangar-indoor-s
269,irrigation_ditch-s
270,elevator_lobby-s
271,dam-s
272,crevasse-s
273,convenience_store-outdoor-s
274,ghost_town-s
275,greenhouse-outdoor-s
276,boathouse-s
277,junk_pile-s
278,orchard-s
279,excavation-s
280,ranch-s
281,oast_house-s
282,kiosk-outdoor-s
283,canal-urban-s
284,ski_slope-s
285,sacristy-s
286,mountain_road-s
287,motel-s
288,student_residence-s
289,nuclear_power_plant-outdoor-s
290,stadium-baseball-s
291,boxing_ring-s
292,flood-s
293,airport-entrance-s
294,fitting_room-exterior-s
295,wine_cellar-bottle_storage-s
296,lift_bridge-s
297,fitting_room-interior-s
298,hotel-outdoor-s
299,carport-outdoor-s
300,ice_cream_parlor-s
301,subway_station-platform-s
302,ranch_house-s
303,estuary-s
304,baptistry-indoor-s
305,water_mill-s
306,coffee_shop-s
307,mosque-indoor-s
308,canal-natural-s
309,downtown-s
310,waterfall-cascade-s
311,military_hut-s
312,hacienda-s
313,guardhouse-s
314,apse-indoor-s
315,pagoda-s
316,shed-s
317,chalet-s
318,topiary_garden-s
319,oasis-s
320,library-outdoor-s
321,general_store-outdoor-s
322,bank-indoor-s
323,manufactured_home-s
324,dugout-s
325,bog-s
326,workshop-s
327,cloister-outdoor-s
328,firing_range-outdoor-s
329,herb_garden-s
330,cargo_container_interior-s
331,volleyball_court-outdoor-s
332,synagogue-outdoor-s
333,spa-massage_room-s
334,elevator_shaft-s
335,industrial_area-s
336,train_station-outdoor-s
337,baseball_field-s
338,lagoon-s
339,barbershop-s
340,savanna-s
341,lawn-s
342,labyrinth-indoor-s
343,bullring-s
344,market-indoor-s
345,catwalk-s
346,cottage_garden-s
347,parking_garage-outdoor-s
348,elevator-freight_elevator-s
349,ice_skating_rink-outdoor-s
350,hat_shop-s
351,witness_stand-s
352,butchers_shop-s
353,lido_deck-outdoor-s
354,flight_of_stairs-urban-s
355,formal_garden-s
356,escalator-outdoor-s
357,assembly_line-s
358,moon_bounce-s
359,hut-s
360,anechoic_chamber-s
