code,name
1,blotchy
2,dotted
3,banded
4,striped
5,bumpy
6,smeared
7,knitted
8,porous
9,pitted
10,fibrous
11,veined
12,perforated
13,woven
14,meshed
15,crosshatched
16,sprinkled
17,polka-dotted
18,marbled
19,stained
20,grid
21,gauzy
22,interlaced
23,frilly
24,zigzagged
25,spiralled
26,swirly
27,cracked
28,studded
29,matted
30,flecked
31,potholed
32,scaly
33,stratified
34,braided
35,lined
36,wrinkled
37,paisley
38,waffled
39,freckled
40,honeycombed
41,lacelike
42,chequered
43,crystalline
44,bubbly
45,grooved
46,pleated
47,cobwebbed
